Course Code,Course Name
BSChemEng,Bachelor of Science in Chemical Engineering
BSCA,Bachelor of Science in Computer Applications
BSIS,Bachelor of Science in Information Systems
BSN,Bachelor of Science in Nursing
BSEE,Bachelor of Science in Electrical Engineering
BSCE,Bachelor of Science in Civil Engineering
BSCpE,Bachelor of Science in Computer Engineering
BSCS,Bachelor of Science in Computer Science
BSIT,Bachelor of Science in Information Technology
BSA,Bachelor of Science in Accountancy
